amount_of_ants,rho,alpha,n_alpha,n_beta,elite,n,m,D,W,smax,iterations,time,running_time
1000,0.3,0,1,0,100,60,60,20,10,0.9,82,30.924530444461702,1355.1152047379996,
1000,0.3,0,1,0,100,60,60,20,10,0.9,83,31.140104295558196,1423.081414847,
1000,0.3,0,1,0,100,60,60,20,10,0.9,77,31.011388768539092,1255.5562097799993,
1000,0.3,0,1,0,100,60,60,20,10,0.9,73,31.029678940149616,1254.0664221719999,
1000,0.35,0,1,0,100,60,60,20,10,0.9,69,31.385181713248713,1156.8138369359986,
1000,0.35,0,1,0,100,60,60,20,10,0.9,73,31.18866266602442,1063.4225498430023,
1000,0.35,0,1,0,100,60,60,20,10,0.9,72,30.853181863063817,478.26750022600027,
1000,0.35,0,1,0,100,60,60,20,10,0.9,72,31.2033571330376,476.2275520350013,
1000,0.35,0,1,0,100,60,60,20,10,0.9,60,31.101235301694608,382.95587254300335,
1000,0.35,0,1,0,100,60,60,20,10,0.9,65,31.101198029565246,405.44081944700156,
1000,0.4,0,1,0,100,60,60,20,10,0.9,57,31.11669141405843,357.0614857889959,
1000,0.4,0,1,0,100,60,60,20,10,0.9,56,31.19923679331677,365.2834874980035,
1000,0.4,0,1,0,100,60,60,20,10,0.9,63,30.854406087061406,394.1598629920045,
1000,0.4,0,1,0,100,60,60,20,10,0.9,62,31.057058999779613,340.017922619998,
1000,0.4,0,1,0,100,60,60,20,10,0.9,59,31.25302489725798,315.80496727800346,
1000,0.45,0,1,0,100,60,60,20,10,0.9,53,31.145039777527032,284.2284457059941,
1000,0.45,0,1,0,100,60,60,20,10,0.9,53,31.09564285956376,333.4578188919986,
1000,0.45,0,1,0,100,60,60,20,10,0.9,52,31.023673119502078,317.9224614150007,
1000,0.45,0,1,0,100,60,60,20,10,0.9,57,30.952997268506373,310.14623685700644,
1000,0.45,0,1,0,100,60,60,20,10,0.9,54,31.33259392950322,288.8889604550059,
1000,0.45,0,1,0,100,60,60,20,10,0.9,55,30.964242543019807,304.9282347490007,
1000,0.5,0,1,0,100,60,60,20,10,0.9,46,31.630980495419507,254.9264406670045,
1000,0.5,0,1,0,100,60,60,20,10,0.9,43,31.22973339321095,235.87461800799792,
1000,0.5,0,1,0,100,60,60,20,10,0.9,45,31.022589401879635,250.28834885900142,
1000,0.5,0,1,0,100,60,60,20,10,0.9,48,30.95861902951316,265.8092711240024,
1000,0.5,0,1,0,100,60,60,20,10,0.9,50,31.01991658497184,268.4397713750004,
1000,0.55,0,1,0,100,60,60,20,10,0.9,43,30.912786357140142,235.17918509399897,
1000,0.55,0,1,0,100,60,60,20,10,0.9,42,31.223811804286477,227.37872878299822,
1000,0.55,0,1,0,100,60,60,20,10,0.9,40,31.036346129120915,210.70259120500123,
1000,0.55,0,1,0,100,60,60,20,10,0.9,39,31.118662763755296,206.73557326299488,
1000,0.55,0,1,0,100,60,60,20,10,0.9,42,31.20273183890985,221.4806851329995,
1000,0.6,0,1,0,100,60,60,20,10,0.9,41,31.130038017588028,218.95485578700027,
1000,0.6,0,1,0,100,60,60,20,10,0.9,39,31.111398792281356,202.12296921100642,
1000,0.6,0,1,0,100,60,60,20,10,0.9,38,31.14599254911859,192.83297854100238,
1000,0.6,0,1,0,100,60,60,20,10,0.9,34,31.238030342903762,185.95831257400278,
1000,0.6,0,1,0,100,60,60,20,10,0.9,38,31.126767619568703,193.52211270700354,
1000,0.7,0,1,0,100,60,60,20,10,0.9,31,31.21520033226856,165.8233633869968,
